,Date,DO_Areation_1,PH_Areation_1,ORP_Areation_1,MLSS_Areation_1,DO_Areation_2,PH_Areation_2,ORP_Areation_2,MLSS_Areation_2,PH_Anoxic_1,ORP_Anoxic_1,MLSS_Anoxic_1,PH_Anoxic_2,ORP_Anoxic_2,MLSS_Anoxic_2,TOC_in_total,TOC_out
0,2013/7/1,5.6,6.2,401.0,6285.0,5.7,6.4,195.0,6175.0,6.8,468.0,7190.0,6.0,500.0,7150.0,85.0,7.3
1,2013/7/2,5.9,6.3,407.0,6070.0,6.0,6.5,193.0,6095.0,6.8,499.0,7120.0,7.6,500.0,7110.0,66.0,5.5
2,2013/7/3,6.6,6.2,406.0,6770.0,6.2,6.4,193.0,6040.0,6.6,485.0,7100.0,6.7,500.0,7120.0,73.0,6.7
3,2013/7/4,5.0,6.2,396.0,6360.0,5.4,6.5,183.0,6030.0,6.8,496.0,7120.0,6.8,500.0,7070.0,64.0,6.8
4,2013/7/5,5.9,6.0,408.0,6150.0,5.7,6.3,204.0,6113.0,6.6,486.0,7015.0,7.2,500.0,7125.0,53.0,7.3
5,2013/7/6,5.9,6.0,408.0,6150.0,5.7,6.3,204.0,6113.0,6.6,486.0,7015.0,7.2,500.0,7125.0,52.0,6.7
6,2013/7/7,5.4,6.3,394.0,6100.0,5.6,6.5,170.0,6035.0,6.8,500.0,7100.0,7.4,500.0,6900.0,63.0,6.5
7,2013/7/8,4.9,6.1,402.0,6520.0,5.2,6.3,180.0,6350.0,6.7,495.0,7105.0,7.5,500.0,6910.0,63.0,6.6
8,2013/7/9,5.1,6.1,408.0,6385.0,5.3,6.3,179.0,6015.0,6.6,496.0,7039.0,7.6,500.0,6925.0,76.0,6.9
9,2013/7/10,4.9,6.2,408.0,7220.0,5.2,6.4,172.0,7270.0,6.7,500.0,6957.0,7.6,500.0,6900.0,68.0,7.0
10,2013/7/11,5.8,6.2,414.0,7120.0,5.7,6.4,175.0,8033.0,6.7,500.0,6904.0,6.7,500.0,6955.0,60.0,7.3
11,2013/7/12,4.5,6.1,407.0,6955.0,4.7,6.3,172.0,8400.0,6.7,495.0,6750.0,7.7,500.0,6750.0,56.0,6.1
12,2013/7/13,5.3,6.1,408.0,6960.0,5.7,6.5,309.0,8135.0,6.8,500.0,6900.0,6.7,500.0,6924.0,56.0,6.0
13,2013/7/14,5.4,6.2,411.0,6940.0,5.8,6.5,272.0,8475.0,6.7,500.0,6895.0,7.8,500.0,6755.0,56.0,6.0
14,2013/7/15,5.4,6.2,411.0,7310.0,5.7,6.4,248.0,8170.0,6.7,495.0,6750.0,7.8,500.0,6770.0,56.0,6.1
15,2013/7/16,5.0,6.1,411.0,7170.0,5.5,6.4,251.0,8200.0,6.6,492.0,6630.0,7.1,500.0,6670.0,56.0,5.6
16,2013/7/17,5.4,6.2,415.0,7130.0,5.6,6.4,243.0,7600.0,6.7,498.0,6600.0,7.9,500.0,6640.0,56.0,5.8
17,2013/7/18,1.5,6.2,339.0,6873.0,4.3,6.3,238.0,7270.0,6.8,499.0,6553.0,8.0,500.0,6640.0,94.0,6.8
18,2013/7/19,1.4,6.2,296.0,6890.0,3.4,6.4,208.0,7760.0,6.7,499.0,6480.0,8.2,500.0,6540.0,88.0,6.4
19,2013/7/20,1.4,6.3,298.0,6680.0,3.2,6.4,194.0,7180.0,6.9,500.0,6380.0,8.1,500.0,6450.0,87.0,6.5
20,2013/7/21,5.2,6.3,421.0,6890.0,4.8,6.5,208.0,7130.0,6.9,500.0,6415.0,8.2,500.0,6460.0,82.0,6.3
21,2013/7/22,6.0,6.4,420.0,6980.0,5.2,6.5,204.0,7210.0,6.9,500.0,6612.0,8.2,500.0,6562.0,81.0,6.4
22,2013/7/23,6.2,6.3,425.0,6900.0,5.3,6.4,218.0,7030.0,6.9,500.0,6540.0,8.1,500.0,6380.0,83.0,6.4
23,2013/7/24,6.3,6.3,428.0,6880.0,5.4,6.5,205.0,7120.0,7.0,500.0,6245.0,8.3,500.0,6050.0,75.0,6.2
24,2013/7/25,6.5,6.3,429.0,6700.0,5.3,6.5,197.0,6910.0,7.0,500.0,6320.0,8.3,500.0,6340.0,71.0,6.1
